"clan","session","date","time","aggressor","recip"
"hz","S16014",2015-01-03,"2018-01-01 17:52:00","clus","lole"
"hz","S16014",2015-01-03,"2018-01-01 17:52:00","clus","savy"
"hz","S16014",2015-01-03,"2018-01-01 17:52:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 17:52:00","cokl","savy"
"hz","S16014",2015-01-03,"2018-01-01 17:52:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 17:59:00","cokl","puff"
"hz","S16014",2015-01-03,"2018-01-01 17:59:00","cokl","puff"
"hz","S16014",2015-01-03,"2018-01-01 17:59:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 18:00:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 18:00:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 18:02:00","savy","boot"
"hz","S16014",2015-01-03,"2018-01-01 18:02:00","savy","boot"
"hz","S16014",2015-01-03,"2018-01-01 18:02:00","savy","boot"
"hz","S16014",2015-01-03,"2018-01-01 18:14:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 18:14:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 18:14:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 18:56:00","clus","puff"
"hz","S16014",2015-01-03,"2018-01-01 18:57:00","puff","boot"
"hz","S16014",2015-01-03,"2018-01-01 18:59:00","boot","cokl"
"hz","S16014",2015-01-03,"2018-01-01 18:59:00","puff","cokl"
"hz","S16014",2015-01-03,"2018-01-01 18:59:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 18:59:00","lole","cokl"
"hz","S16014",2015-01-03,"2018-01-01 18:59:00","lole","cokl"
"hz","S16014",2015-01-03,"2018-01-01 18:59:00","clus","boot"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","savy","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","cokl","savy"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","savy","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","cokl","savy"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","savy","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","cokl","savy"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","savy","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","cokl","savy"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","savy","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","savy","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","savy","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","savy","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","clus","boot"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","savy","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","savy","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","savy","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:00:00","savy","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:03:00","savy","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:03:00","savy","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:03:00","cokl","savy"
"hz","S16014",2015-01-03,"2018-01-01 19:03:00","cokl","savy"
"hz","S16014",2015-01-03,"2018-01-01 19:03:00","savy","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:04:00","cokl","lole"
"hz","S16014",2015-01-03,"2018-01-01 19:04:00","lole","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:04:00","cokl","lole"
"hz","S16014",2015-01-03,"2018-01-01 19:04:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:04:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:04:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:04:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:04:00","cokl","savy"
"hz","S16014",2015-01-03,"2018-01-01 19:04:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:05:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:05:00","puff","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:05:00","puff","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:05:00","cokl","puff"
"hz","S16014",2015-01-03,"2018-01-01 19:05:00","cokl","puff"
"hz","S16014",2015-01-03,"2018-01-01 19:05:00","cokl","puff"
"hz","S16014",2015-01-03,"2018-01-01 19:05:00","cokl","puff"
"hz","S16014",2015-01-03,"2018-01-01 19:05:00","puff","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:05:00","cokl","puff"
"hz","S16014",2015-01-03,"2018-01-01 19:05:00","cokl","puff"
"hz","S16014",2015-01-03,"2018-01-01 19:05:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:06:00","puff","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:07:00","boot","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:07:00","cokl","boot"
"hz","S16014",2015-01-03,"2018-01-01 19:07:00","boot","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:07:00","cokl","boot"
"hz","S16014",2015-01-03,"2018-01-01 19:07:00","clus","cokl"
"hz","S16014",2015-01-03,"2018-01-01 19:14:00","cokl","lole"
"hz","S16014",2015-01-03,"2018-01-01 19:14:00","cokl","lole"
"hz","S16014",2015-01-03,"2018-01-01 19:14:00","cokl","lole"
"hz","S16014",2015-01-03,"2018-01-01 19:15:00","lole","savy"
